,Date,Open,High,Low,Close,Volume,DEMA,EMA,HT_TRENDLINE,KAMA,MA,MIDPOINT,MIDPRICE,SAR,SAREXT,SMA,T3,TEMA,TRIMA,WMA
224,20090429,226.0,233.0,213.05,218.2,6432,218.82,194.34,183.17,215.75,185.45,212.68,206.82,237.85,-237.85,185.45,233.27,232.66,183.9,201.38
225,20090504,229.1,229.15,221.25,229.15,10419,221.59,196.59,186.44,217.67,188.26,212.68,209.92,237.35,-237.35,188.26,232.01,235.02,187.22,204.2
226,20090505,230.0,239.8,222.25,230.1,105159,224.16,198.75,190.22,219.4,190.98,212.68,209.92,236.87,-236.87,190.98,231.18,237.11,190.53,206.9
227,20090506,230.1,230.1,223.0,225.6,7763,225.87,200.48,194.24,220.24,193.66,213.35,210.2,236.39,-236.39,193.66,230.29,237.97,193.81,209.13
228,20090507,225.0,236.9,220.0,235.6,37640,228.62,202.75,198.4,222.46,196.57,216.7,214.42,235.92,-235.92,196.57,230.48,240.39,197.1,211.84
229,20090508,237.0,246.95,237.0,245.15,45194,232.24,205.48,202.83,225.94,199.71,222.28,220.0,213.05,213.05,199.71,232.61,244.09,200.47,214.97
230,20090511,250.0,253.8,236.2,242.0,148466,235.08,207.84,206.65,228.18,202.72,231.1,221.73,213.69,213.69,202.72,235.46,246.6,203.88,217.7
231,20090512,236.1,254.1,236.1,252.65,16856,238.92,210.73,210.34,231.68,205.81,235.42,227.0,214.32,214.32,205.81,239.42,250.58,207.32,220.92
232,20090513,249.0,261.9,249.0,259.15,40592,243.14,213.85,214.56,235.66,208.96,238.68,236.1,215.85,215.85,208.96,244.46,255.09,210.77,224.37
233,20090514,250.0,255.2,246.95,248.2,3324,245.54,216.07,218.9,237.04,211.78,238.68,236.1,218.45,218.45,211.78,248.3,256.89,214.11,226.9
234,20090515,242.0,251.0,235.8,235.95,28074,246.12,217.35,222.4,236.96,214.02,238.68,236.1,220.89,220.89,214.02,249.13,256.08,217.2,228.46
235,20090519,247.75,247.75,247.75,247.75,64232,248.06,219.31,226.14,237.88,216.62,238.68,236.1,223.19,223.19,216.62,249.1,257.36,220.07,230.63
236,20090520,260.15,260.15,256.1,260.15,61899,251.31,221.95,230.29,240.55,219.93,239.18,236.6,225.35,225.35,219.93,250.36,260.58,222.76,233.44
237,20090521,273.15,273.2,273.15,273.2,5326,255.81,225.25,234.7,244.64,223.41,245.7,243.12,228.13,228.13,223.41,254.18,265.61,225.32,236.88
238,20090522,286.9,286.9,286.9,286.9,10954,261.54,229.23,238.77,250.08,227.0,256.25,253.45,232.64,232.64,227.0,260.93,272.34,227.88,240.97
239,20090525,301.25,301.25,301.25,301.25,457,268.45,233.88,242.72,257.48,231.09,263.42,260.62,239.15,239.15,231.09,270.45,280.66,230.6,245.77
240,20090526,316.35,316.35,295.1,314.35,80101,276.27,239.07,246.6,265.88,235.31,269.98,267.18,247.84,247.84,235.31,282.1,290.15,233.5,251.14
241,20090527,330.1,330.1,320.0,330.1,14071,285.23,244.94,251.01,276.08,239.94,282.85,275.05,258.48,258.48,239.94,295.48,301.12,236.66,257.25
242,20090528,346.65,346.65,346.65,346.65,1519,295.33,251.5,255.59,288.68,245.18,291.3,291.23,271.38,271.38,245.18,310.3,313.5,240.15,264.14
243,20090529,364.0,364.0,364.0,364.0,79227,306.55,258.76,260.38,303.5,251.07,299.98,299.9,286.43,286.43,251.07,326.33,327.26,244.03,271.8
244,20090601,379.9,382.2,362.0,382.2,100092,318.88,266.73,264.73,319.88,257.51,309.08,309.0,301.94,301.94,257.51,343.4,342.34,248.28,280.26
245,20090602,400.5,401.35,390.0,401.35,7508,332.33,275.41,269.46,337.47,264.37,318.65,318.58,318.0,318.0,264.37,361.41,358.72,252.96,289.54
246,20090603,421.45,421.45,421.45,421.45,1888,346.89,284.83,274.68,356.39,271.77,328.7,328.62,334.67,334.67,271.77,380.3,376.39,258.15,299.68
247,20090604,442.55,442.55,400.4,411.15,245855,358.66,292.98,279.93,366.58,278.24,328.7,328.62,352.02,352.02,278.24,396.38,389.65,263.75,308.67
248,20090605,416.0,425.0,396.05,400.25,50189,367.82,299.9,284.13,371.79,284.1,334.6,334.6,365.91,365.91,284.1,406.99,398.9,269.81,316.54
249,20090608,410.0,412.0,380.25,387.5,40796,374.38,305.55,287.06,373.69,289.19,340.8,338.78,377.02,377.02,289.19,411.04,404.29,276.4,323.21
250,20090609,375.2,404.0,375.2,399.8,59350,381.7,311.64,289.2,377.14,294.74,347.32,347.3,421.45,-421.45,294.74,411.83,410.86,283.62,330.35
251,20090610,396.0,411.05,386.25,398.05,35203,387.97,317.21,291.57,379.77,300.08,354.17,354.17,420.52,-420.52,300.08,410.84,415.9,291.35,337.01
252,20090611,395.05,403.0,395.05,400.0,32046,393.75,322.55,294.29,382.61,305.72,361.35,358.28,419.62,-419.62,305.72,409.26,420.27,299.52,343.46
253,20090612,400.0,410.0,395.0,399.7,46268,398.79,327.53,298.82,385.28,311.59,367.9,358.28,418.73,-418.73,311.59,407.56,423.66,307.99,349.52
254,20090615,398.0,405.0,395.0,400.3,20020,403.28,332.22,303.82,387.83,317.66,375.78,370.72,417.86,-417.86,317.66,406.03,426.35,316.6,355.25
255,20090616,390.0,412.0,390.0,409.9,9810,408.39,337.24,309.16,391.55,323.68,384.05,384.05,417.01,-417.01,323.68,405.87,430.08,325.27,361.2
256,20090617,415.0,422.0,405.5,409.95,18075,412.88,341.93,313.59,394.64,329.68,392.72,391.72,416.17,-416.17,329.68,406.72,432.98,333.91,366.76
257,20090618,400.0,410.0,389.45,398.55,14356,415.37,345.58,319.33,395.23,335.44,401.82,391.72,415.35,-415.35,335.44,406.64,433.09,342.35,371.21
258,20090619,395.0,407.95,382.15,394.1,11015,416.93,348.71,326.18,395.08,340.72,404.48,398.32,414.55,-414.55,340.72,405.09,432.03,350.41,374.99
259,20090622,395.5,398.0,391.5,394.7,29548,418.27,351.68,334.02,395.03,345.71,404.48,398.32,413.76,-413.76,345.71,402.77,430.88,357.99,378.47
260,20090623,395.0,395.0,375.0,375.65,23264,416.97,353.22,343.49,393.11,350.16,393.4,393.08,412.99,-412.99,350.16,398.11,426.09,364.9,380.4
261,20090624,385.0,386.95,367.5,371.3,21744,415.11,354.39,352.45,391.27,354.12,390.62,388.72,411.47,-411.47,354.12,391.73,420.82,370.93,381.77
262,20090625,375.0,384.7,375.0,383.5,39347,414.83,356.27,361.72,390.58,358.26,390.62,388.72,408.83,-408.83,358.26,386.53,418.15,376.14,383.66
263,20090626,389.85,402.7,384.0,398.45,15444,416.32,358.99,369.33,391.5,363.27,390.62,388.72,406.35,-406.35,363.27,384.87,418.27,380.71,386.26
264,20090629,418.0,418.4,401.0,416.6,11598,419.81,362.71,375.71,395.38,369.29,393.95,392.05,367.5,367.5,369.29,388.09,421.43,384.76,389.7
265,20090630,416.05,416.05,395.8,395.8,6622,420.26,364.84,380.9,395.42,374.23,393.95,392.05,368.48,368.48,374.23,391.73,420.2,388.17,391.41
266,20090701,380.0,390.0,376.05,376.05,15530,418.09,365.56,384.8,394.06,378.09,393.95,392.05,369.44,369.44,378.09,392.12,415.32,390.86,391.52
267,20090702,357.4,387.0,356.3,372.1,19083,415.51,365.99,387.82,392.79,381.39,393.95,386.45,416.6,-416.6,381.39,389.38,410.12,392.85,391.14
268,20090703,377.0,383.2,372.1,376.35,16095,413.61,366.65,390.8,391.93,384.37,393.95,386.45,415.39,-415.39,384.37,385.59,406.16,394.22,390.81
269,20090706,380.0,389.0,357.55,358.05,43169,409.51,366.1,392.45,390.99,386.26,387.33,386.45,414.21,-414.21,386.26,379.82,399.22,394.94,389.11
